geneID	transcriptID	chrom	strand	codon5	codon3	length	read.num	f1	f2	f3	entropy	MAXentropy	pme
ENSG00000175061.13	ENST00000584177.1:131:310	chr17	+	16342266	16343513	180	69	0.217	0.159	0.623	2.942	4.033	0.729
ENSG00000175061.13	ENST00000497774.1:21:272	chr17	+	16342345	16342863	252	76	0.224	0.132	0.645	2.504	3.692	0.678
C17orf76-AS1	NR_045026:45:197	chr17	+	16342345	16342877	153	76	0.237	0.105	0.658	2.871	3.856	0.744
ENSG00000175061.13	ENST00000584926.1:13:207	chr17	+	16342363	16343476	195	75	0.227	0.107	0.667	2.857	4.114	0.694
C17orf76-AS1	NR_027175:68:229	chr17	+	16342368	16343566	162	183	0.607	0.284	0.109	3.310	3.960	0.836
C17orf76-AS1	NR_027161:155:463	chr17	+	16342455	16342877	309	62	0.258	0.097	0.645	2.409	3.881	0.621
C17orf76-AS1	NR_027160:155:454	chr17	+	16342455	16342921	300	60	0.267	0.100	0.633	2.342	3.840	0.610
C17orf76-AS1	NR_027159:155:442	chr17	+	16342455	16343513	288	69	0.217	0.159	0.623	2.526	3.792	0.666
C17orf76-AS1	NR_027667:155:547	chr17	+	16342455	16344394	393	177	0.169	0.401	0.429	3.438	4.808	0.715
C17orf76-AS1	NR_045028:155:601	chr17	+	16342455	16344742	447	177	0.169	0.401	0.429	3.438	4.949	0.695
ENSG00000175061.13	ENST00000578380.2:136:303	chr17	+	16342505	16342999	168	62	0.645	0.258	0.097	2.728	3.971	0.687
C17orf76-AS1	NR_027172:61:198	chr17	+	16342658	16343566	138	151	0.583	0.311	0.106	3.106	3.797	0.818
ENSG00000175061.13	ENST00000578757.1:760:888	chr17	+	16343543	16344492	129	54	0.426	0.037	0.537	1.849	3.681	0.502
ENSG00000163597.10	ENST00000586942.1:31:144	chr17	+	74553881	74554511	114	24	0.667	0.167	0.167	1.861	2.831	0.657
XLOC_012457	TCONS_00025620:34:369	chr17	-	36607580	36608638	336	10	0.600	0.200	0.200	1.887	2.164	0.872
LINC00324	NR_026951:621:1067	chr17	-	8125756	8126203	447	26	0.462	0.154	0.385	0.271	3.151	0.086
ENSG00000142396.6	ENST00000413518.1:229:558	chr19	+	58823534	58826149	330	31	0.677	0.258	0.065	2.696	3.255	0.828
ENSG00000142396.6	ENST00000609864.1:307:456	chr19	+	58823599	58823749	150	18	0.056	0.722	0.222	2.135	2.736	0.780
ENSG00000142396.6	ENST00000427361.1:278:502	chr19	+	58823639	58826149	225	22	0.636	0.318	0.045	2.437	2.839	0.858
LINC00152	NR_024206:239:397	chr2	+	87820773	87820932	159	13	0.538	0.231	0.231	1.519	2.565	0.592
ENSG00000175701.6	ENST00000426713.1:57:227	chr2	-	110969931	110970102	171	52	0.712	0.231	0.058	2.851	3.311	0.861
LINC00116	NR_027063:968:1384	chr2	-	110969931	110970348	417	53	0.698	0.226	0.075	2.647	3.787	0.699
XLOC_l2_008285	TCONS_l2_00014931:97:261	chr2	-	137087024	137087189	165	12	0.083	0.083	0.833	0.287	2.254	0.127
XLOC_l2_008285	TCONS_l2_00014932:22:231	chr2	-	137087024	137087483	210	12	0.083	0.083	0.833	0.566	2.369	0.239
LINC00493	NR_015432:50:337	chr20	+	18548122	18550049	288	66	0.500	0.439	0.061	3.083	3.791	0.813
ENSG00000232388.2	ENST00000435844.1:69:425	chr20	+	18548132	18550131	357	72	0.472	0.069	0.458	3.223	4.026	0.801
ENSG00000177410.8	ENST00000458653.1:62:274	chr20	+	47894869	47897064	213	40	0.250	0.025	0.725	2.251	3.516	0.640
ZNFX1-AS1	NR_036659:41:244	chr20	+	47895219	47897064	204	43	0.233	0.047	0.721	2.273	3.439	0.661
XLOC_l2_009645	TCONS_l2_00019769:0:647	chr3	+	22423309	22597727	648	29	0.690	0.207	0.103	0.642	3.224	0.199
XLOC_l2_009645	TCONS_l2_00019768:277:459	chr3	+	22423586	22423803	183	23	0.261	0.043	0.696	0.000	2.955	0.000
XLOC_003181	TCONS_00007197:165:311	chr3	-	96336184	96336331	147	39	0.538	0.333	0.128	0.756	3.130	0.241
XLOC_003181	TCONS_00007196:440:595	chr3	-	96336230	96336386	156	1140	0.177	0.181	0.642	0.976	3.932	0.248
XLOC_003181	TCONS_00006556:5:79	chr3	-	96336709	96337003	75	1978	0.509	0.157	0.334	1.122	3.178	0.353
XLOC_003181	TCONS_00007198:125:211	chr3	-	96336823	96336910	87	89	0.348	0.236	0.416	0.766	3.325	0.230
SNHG8	NR_003584:58:216	chr4	+	119199974	119200133	159	13	0.538	0.308	0.154	1.733	2.565	0.676
DANCR	NR_024031:24:302	chr4	+	53578644	53579753	279	28	0.286	0.036	0.679	0.938	3.085	0.304
ENSG00000226950.2	ENST00000441504.1:10:177	chr4	+	53578674	53579138	168	20	0.150	0.050	0.800	0.613	2.857	0.215
XLOC_l2_012154	TCONS_l2_00023835:244:1032	chr5	-	99386059	99389927	789	22	0.136	0.545	0.318	1.174	3.028	0.388
ENSG00000203875.6	ENST00000587692.1:450:644	chr6	-	86387690	86387988	195	49	0.408	0.469	0.122	1.649	3.411	0.483
ENSG00000203875.6	ENST00000425170.1:46:135	chr6	-	86387841	86387931	90	40	0.475	0.425	0.100	1.149	3.308	0.348
XLOC_l2_013272	TCONS_l2_00025643:91:3279	chr7	+	6681698	6694242	3189	16	0.625	0.125	0.250	1.960	2.686	0.730
XLOC_l2_013272	TCONS_l2_00025640:413:3427	chr7	+	6682040	6694242	3015	16	0.625	0.125	0.250	1.890	2.686	0.704
XLOC_l2_013272	TCONS_l2_00025644:97:2553	chr7	+	6683545	6694242	2457	15	0.667	0.133	0.200	1.934	2.616	0.739
LOC729852	NR_034084:174:587	chr7	+	7713002	7917169	414	11	0.727	0.273	0.000	2.146	2.272	0.945
LOC401397	NR_015442:178:357	chr7	-	112757453	112757633	180	36	0.528	0.417	0.056	2.741	3.314	0.827
LOC401397	NR_024412:58:351	chr7	-	112757547	112758579	294	20	0.100	0.550	0.350	1.496	2.926	0.511
SNHG6	NR_002599:92:184	chr8	-	67834881	67837685	93	16	0.125	0.562	0.312	1.461	2.686	0.544
SNHG7	NR_003672:2:325	chr9	-	139621516	139622634	324	10	0.200	0.500	0.300	1.696	2.164	0.784
RNA45S5	NR_046235:1807:3699	chrUn_gl000220	+	107230	109123	1893	11	0.364	0.000	0.636	0.305	2.272	0.134
XLOC_l2_015536	TCONS_l2_00030698:19:243	chrX	+	56755695	56755920	225	16	0.188	0.688	0.125	2.079	2.599	0.800
LOC550643	NR_015367:69:275	chrX	+	56755786	56755993	207	16	0.875	0.062	0.062	2.079	2.513	0.828
XLOC_l2_015536	TCONS_l2_00030699:14:175	chrX	+	56755802	56755964	162	11	0.000	0.091	0.909	1.516	2.272	0.667
